,DENOMINAZIONE,ID,INDIRIZZO,COMUNE,PROVINCIA,COMUNITA DI VALLE,NAZIONE,SITO INTERNET,LATITUDINE,LONGITUDINE,ALTITUDINE,CATEGORIA 1,CATEGORIA 2,CODICE ACCESSIBILITA' 1,CODICE ACCESSIBILITA' 2,CODICE ACCESSIBILITA' 3,CODICE ACCESSIBILITA' 4,CODICE ACCESSIBILITA' 5,CODICE ACCESSIBILITA' 6,CODICE ACCESSIBILITA' 7,CODICE ACCESSIBILITA' 8,CODICE ACCESSIBILITA' 9,CODICE ACCESSIBILITA' 10,CODICE ACCESSIBILITA' 11,CODICE ACCESSIBILITA' 12,CODICE ACCESSIBILITA' 13,CODICE ACCESSIBILITA' 14,CODICE ACCESSIBILITA' 15,CODICE ACCESSIBILITA' 16,CODICE ACCESSIBILITA' 17,CODICE ACCESSIBILITA' 18,DATA ULTIMA MODIFICA,DATA RILEVAZIONE
32,ADGT - ASSOCIAZIONE DIABETE GIOVANILE DI TRENTO,525,"VIA BRONZETTI, 29",Trento,TN,Territorio Val D'adige,Italia,www.adgt.it,46.058677,11.121518,200.0,Associazioni,,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6fg,AI-6l,AI-6i,AI-6e,AE-1abc,AI-5fb,AI-5fa,AI-5f,AE-2d,AE-2b,AE-2a,AI-6r,,,2019-06-13 10:22:48.156,2010-07-16
33,AERHOTEL,813,"VIA LIDORNO, 3",Trento,TN,Territorio Val D'adige,Italia,,46.026922,11.1274653,200.0,Alberghi / Hotel,Ristoranti,AI-6d,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AI-6i,AI-6fg,AI-6bc,AI-6ad,AI-8o,AI-7bcdef,AI-8a,AI-8efga,AI-8p,AI-8n,AI-8l,AI-7a,2013-02-28 15:40:47.338,2010-08-24
34,AFFARI FINANZIARI,744,"VIA ROMAGNOSI,"" 9 - C/O CENTRO EUROPA",Trento,TN,Territorio Val D'adige,Italia,wwww.provincia.tn.it,46.0732112,11.1218254,200.0,Uffici Pubblici,,AI-6d,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-2d,AE-2a,,,,2011-05-26 14:02:44,2010-07-23
35,AFTER PUB,707,"VIA SECONDO DA TRENTO, 1",Trento,TN,Territorio Val D'adige,Italia,,46.0765403,11.1230306,200.0,Pizzerie,Bar,AI-6d,AI-6l,AI-6i,AI-6fg,AI-6e,AE-1abc,AE-2d,AI-6p,AI-6r,AE-3abde,AE-3cf,,,,,,,,2016-02-09 09:28:28.784,2010-07-20
36,AGENZIA DEL LAVORO,680,"VIA GUARDINI, 75",Trento,TN,Territorio Val D'adige,Italia,www.agenzialavoro.tn.it,46.094576,11.1176606,200.0,Uffici Pubblici,,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AE-1abc,AE-2a,,,,,,,,,,,,2011-05-23 13:51:09,2010-07-16
37,AGENZIA LIBRERIA SCALA MARIO,247,"VIA ROGGIA GRANDE, 26",Trento,TN,Territorio Val D'adige,Italia,www.libreriascala.it,46.0680187,11.1247987,190.0,Librerie,,AE-3cf,AE-3abde,AE-1abc,,,,,,,,,,,,,,,,2013-01-15 09:01:30.751,2013-01-14
38,AGENZIA VIAGGI CALDERARI E MOGGIOLI S.R.L.,185,"CORSO TRE NOVEMBRE, 96",Trento,TN,Territorio Val D'adige,Italia,,46.06074,11.1247,194.0,Agenzie viaggi e Promozione Turistica,,AE-3cf,AE-3abde,AE-1abc,,,,,,,,,,,,,,,,2010-03-05 07:03:18,2010-02-09
39,AGRITUR LE GIARE,805,"VIA FERSINA, 30",Trento,TN,Territorio Val D'adige,Italia,www.agriturlegiare.it,46.0435158,11.1232595,200.0,Garni e Agriturismo,,AE-3cf,AE-3abde,AI-8i,AI-8p,AI-8n,AI-8efg,AI-8cd,AI-8a,AI-7bcdef,AI-7a,AE-2a,,,,,,,,2016-03-17 11:21:31.232,2010-09-03
40,AI VICOLI,573,"PIAZZA SANTA TERESA VERZIERI, 1",Trento,TN,Territorio Val D'adige,Italia,www.aivicoli.it,46.06751,11.120286,200.0,Ristoranti,Bar,AI-6d,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AI-6p,AI-6l,AI-6i,AI-6e,AE-1abc,AI-6ad,AI-6bc,AI-6fg,AI-6r,,,,2016-02-09 15:27:50.437,2013-01-30
41,AIPD - ASSOCIAZIONE ITALIANA PERSONE DOWN,783,"VIA TARAMELLI, 8 - C/O COOPERATIVA LA RETE",Trento,TN,Territorio Val D'adige,Italia,www.aipd.it,46.0608,11.11614,200.0,Associazioni,,AI-6d,AE-3cf,AE-3abde,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-2a,,,,,,,,2011-05-30 11:45:28,2010-07-13
