,DENOMINAZIONE,ID,INDIRIZZO,COMUNE,PROVINCIA,COMUNITA DI VALLE,NAZIONE,SITO INTERNET,LATITUDINE,LONGITUDINE,ALTITUDINE,CATEGORIA 1,CATEGORIA 2,CODICE ACCESSIBILITA' 1,CODICE ACCESSIBILITA' 2,CODICE ACCESSIBILITA' 3,CODICE ACCESSIBILITA' 4,CODICE ACCESSIBILITA' 5,CODICE ACCESSIBILITA' 6,CODICE ACCESSIBILITA' 7,CODICE ACCESSIBILITA' 8,CODICE ACCESSIBILITA' 9,CODICE ACCESSIBILITA' 10,CODICE ACCESSIBILITA' 11,CODICE ACCESSIBILITA' 12,CODICE ACCESSIBILITA' 13,CODICE ACCESSIBILITA' 14,CODICE ACCESSIBILITA' 15,CODICE ACCESSIBILITA' 16,CODICE ACCESSIBILITA' 17,CODICE ACCESSIBILITA' 18,DATA ULTIMA MODIFICA,DATA RILEVAZIONE
382,FARMACIA SANTONI,71,"PIAZZA PASI, 20",Trento,TN,Territorio Val D'adige,Italia,,46.06789,11.12227,230.0,Farmacie,,AE-3cf,AE-3abde,AE-1abc,AE-2d,AE-2b,AE-2c,AE-2a,,,,,,,,,,,,2013-01-14 11:11:18.56,2009-11-11
383,FEDERAZIONE TRENTINA DELLA COOPERAZIONE,125,"VIA SEGANTINI, 10",Trento,TN,Territorio Val D'adige,Italia,www.ftcoop.it,46.0750032,11.122061,150.0,Uffici Pubblici,,AI-6d,AE-3cf,AE-3abde,AI-6l,AI-6i,AI-6fg,AI-6e,AE-1abc,,,,,,,,,,,2013-01-07 11:55:51.635,2009-12-10
384,FERSINA VIAGGI,426,"VIA MARSALA, 13",Trento,TN,Territorio Val D'adige,Italia,www.fersinaviaggi.it,46.0580601,11.1265041,200.0,Agenzie viaggi e Promozione Turistica,,AE-3cf,AE-3abde,AE-1abc,AE-2c,,,,,,,,,,,,,,,2010-09-02 09:52:38,2010-08-23
385,FIAB TRENTO - FEDERAZIONE ITALIANA AMICI DELLA BICICLETTA,510,"Via al Torrione, 6",Trento,TN,Territorio Val D'adige,Italia,www.fiab-trento.it,46.065148,11.122281,200.0,Associazioni,,AI-6d,AE-3cf,AE-3abde,AI-6p,AE-1abc,AE-2d,AI-6fg,AI-5fb,AI-5fa,AI-6r,AI-6bc,AE-2b,AI-6i,AI-5f,AI-6l,AI-6e,AI-6ad,AE-2a,2019-06-04 13:09:06.185,2010-07-27
386,FIORERIA DA ALDO,1077,"PIAZZA SANTA MARIA MAGGIORE, 30",Trento,TN,Territorio Val D'adige,Italia,,46.06845,11.11903,0.0,Attivita commerciali,,AE-3abde,AE-2d,AE-3cf,,,,,,,,,,,,,,,,2013-03-11 15:43:24.353,2010-09-13
387,FIORERIA FLORIS,1076,"VIA ROSMINI, 67",Trento,TN,Territorio Val D'adige,Italia,,46.063984,11.119706,0.0,Attivita commerciali,,AE-3abde,AE-3cf,,,,,,,,,,,,,,,,,2013-03-11 15:42:42.885,2010-09-13
388,FLAMBARD,629,"VIA DEGLI OLMI, 4",Trento,TN,Territorio Val D'adige,Italia,,46.0499886,11.1314937,200.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-2d,AI-6r,,,,,,,2016-01-12 10:59:23.624,2010-06-30
389,FLORART,1075,"LARGO CARDUCCI, 10",Trento,TN,Territorio Val D'adige,Italia,,46.06832,11.12421,0.0,Attivita commerciali,,AE-3abde,AI-5b,AE-3cf,,,,,,,,,,,,,,,,2013-03-11 15:42:04.429,2010-09-13
390,FONDAZIONE BRUNO KESSLER - SALA CONFERENZE,127,"VIA SANTA CROCE, 77",Trento,TN,Territorio Val D'adige,Italia,www.fbk.eu,46.0638997,11.1234869,230.0,Centri e sale culturali,Uffici Pubblici,AI-6d,AI-5c,AE-3abde,AI-6l,AI-6i,AI-6fg,AI-6e,AE-2b,AE-2a,AE-1abc,AE-3cf,AI-6p,AI-6o,AI-6ad,AI-6bc,AE-2d,,,2013-05-02 17:15:21.562,2013-04-29
391,FONDAZIONE FRANCO DEMARCHI,22,"PIAZZA SANTA MARIA MAGGIORE, 7",Trento,TN,Territorio Val D'adige,Italia,www.fdemarchi.it,46.068675,11.119205,210.0,Associazioni,Scuole e universita,AI-5fb,AI-5f,AI-5c,AE-3cf,AE-3abde,AI-6p,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AI-5fa,AE-2b,AE-1abc,AE-2a,AI-6d,2017-11-24 10:24:27.277,2016-05-03
392,FORMAT - CENTRO AUDIOVISIVI,112,VIA ZANELLA 10/2,Trento,TN,Territorio Val D'adige,Italia,www.format.provincia.tn.it,46.0674137,11.118169,0.0,Centri e sale culturali,,AI-6d,AI-5c,AE-3cf,AE-3abde,AI-6l,AI-6i,AI-6fg,AI-6e,AE-1abc,AI-6r,AI-6p,AE-2d,AE-2b,AE-2a,,,,,2013-01-23 10:15:18.373,2013-01-21
393,FORST,34,"VIA OSS MAZZURANA, 35",Trento,TN,Territorio Val D'adige,Italia,www.forst.it,46.06881,11.12259,217.0,Ristoranti,Pizzerie,AI-6d,AE-3abde,AI-6i,AI-6fg,AI-6e,AI-6ad,AE-2c,AI-6bc,AE-3cf,AI-6r,AI-6l,AI-6p,,,,,,,2016-02-09 11:07:17.166,2013-01-15
394,FORTE BUS DE VELA DI CADINE,1515,VIA AL PASIEL,Trento,TN,Territorio Val D'adige,Italia,www.museostorico.it,46.085006,11.070129,0.0,Punti di interesse,Edifici Storici,AE-2c,AI-6fg,AI-6r,AI-6bc,AE-2b,AE-2d,AE-3abde,AE-2a,AI-6l,AI-6e,AE-3cf,AI-6ad,AI-6d,,,,,,2021-01-26 10:14:04.621,2016-08-10
395,FOTO GOTTARDINI OTTICA SRL,558,"VIA SAN PIETRO, 24",Trento,TN,Territorio Val D'adige,Italia,www.gottardini.it,46.069487,11.124545,200.0,Ottica,,AE-3cf,AE-3abde,AE-1abc,AE-2c,AI-5fb,AI-5fa,AI-5f,,,,,,,,,,,,2013-01-10 16:28:01.043,2013-01-10
396,FRIENDS - PIZZERIA KEBAB,380,"Via Prepositura, 8",Trento,TN,Territorio Val D'adige,Italia,,46.069585,11.118261,200.0,Pizzerie,Fast Food,AE-3cf,AE-3abde,AE-1abc,AE-2c,,,,,,,,,,,,,,,2013-01-21 14:29:29.902,2013-01-21
397,FRUTTA E VERDURA DA LINA,585,"VIA GIOVANNI A PRATO, 8",Trento,TN,Territorio Val D'adige,Italia,,46.0620013,11.1261783,200.0,Frutta e Verdura,,AE-3cf,AE-3abde,AE-1abc,,,,,,,,,,,,,,,,2011-04-08 14:06:07,2010-07-14
398,FUNIVIA TRENTO - SARDAGNA stazione a valle,1506,LUNGADIGE MONTE GRAPPA,Trento,TN,Territorio Val D'adige,Italia,www.trentinotrasporti.it,46.069626,11.115644,200.0,Uffici Pubblici,,AE-1abc,AE-3cf,AE-3abde,AE-2e,,,,,,,,,,,,,,,2020-02-11 15:50:50.265,2020-01-30
399,FUNIVIA TRENTO SARDAGNA stazione a monte,1507,STRADA ALLA FUNIVIA,Trento,TN,Territorio Val D'adige,Italia,,46.065978,11.102663,600.0,Uffici Pubblici,,AI-6fg,AI-6r,AE-2d,AE-1abc,AI-6i,AE-3abde,AI-6l,AI-6p,AI-6d,AI-6e,AE-3cf,,,,,,,,2020-02-11 16:21:07.239,2020-01-30
400,GAIA,709,"VIA MACCANI, 128",Trento,TN,Territorio Val D'adige,Italia,www.risto3.it,46.0890708,11.1097177,200.0,Ristoranti,,AI-6d,AI-5fa,AI-5f,AE-3cf,AE-3abde,AI-6fg,AI-6bc,AI-6ad,AI-6r,,,,,,,,,,2013-01-15 19:37:20.709,2010-08-06
401,GALLERIA CIVICA DI TRENTO,92,"VIA BELENZANI, 44",Trento,TN,Territorio Val D'adige,Italia,www.mart.trento.it,46.068253,11.121313,133.0,Gallerie arte,,AI-6d,AI-5d,AE-3cf,AE-3abde,AI-6p,AI-6o,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-1abc,AI-6l,,,,,,2019-05-03 11:39:40.243,2013-10-15
402,GALLERIA D'ARTE M.FOGOLINO - CENTRO CULTURALE,347,"VIA S. TRINITA', 30",Trento,TN,Territorio Val D'adige,Italia,,46.0664671,11.1238666,180.0,Gallerie arte,,AE-3cf,AE-3abde,AE-1abc,,,,,,,,,,,,,,,,2013-01-10 08:54:16.764,2013-01-09
403,GALLERIA D'ARTE TORRE VERDE,350,"VIC. DELL'ADIGE, 5",Trento,TN,Territorio Val D'adige,Italia,,46.0708169,11.1235379,190.0,Gallerie arte,,AE-3cf,AE-3abde,,,,,,,,,,,,,,,,,2013-01-15 10:52:20.568,2013-01-14
404,GALLERIE PIEDICASTELLO,129,PIAZZA DI PIEDICASTELLO,Trento,TN,Territorio Val D'adige,Italia,www.museostorico.tn.it,46.078913,11.1130071,320.0,Edifici Storici,,AE-3cf,AE-3abde,,,,,,,,,,,,,,,,,2018-07-12 10:17:26.123,2009-12-10
405,GARAGE TORRE VERDE,273,"VIA TORRE VERDE, 40",Trento,TN,Territorio Val D'adige,Italia,,46.0711506,11.1237823,200.0,Parcheggi,,AE-2d,,,,,,,,,,,,,,,,,,2010-05-21 07:50:05,2010-04-26
406,GECELE,604,"VIA DELLE ORNE, 20",Trento,TN,Territorio Val D'adige,Italia,www.eyewear.it,46.0690052,11.1219634,200.0,Ottica,,AE-3abde,AE-2c,AI-5f,AI-5fa,,,,,,,,,,,,,,,2013-01-14 12:04:28.233,2013-01-11
407,GELATERIA IGLOO,701,"VIA SCOPOLI, 3",Trento,TN,Territorio Val D'adige,Italia,,46.0771255,11.1180381,200.0,Gelaterie,,AE-3cf,AE-3abde,AE-1abc,,,,,,,,,,,,,,,,2011-05-25 09:29:59,2010-07-20
408,GELATERIA ROBIN,99,"VIA SUFFRAGIO, 86",Trento,TN,Territorio Val D'adige,Italia,,46.070376,11.124655,194.0,Gelaterie,Dolciumi,AE-3cf,AE-1abc,AE-3abde,,,,,,,,,,,,,,,,2013-02-28 11:50:32.337,2013-02-28
409,GELATERIA VIENNESE,773,"VIA SANTA CROCE, 82",Trento,TN,Territorio Val D'adige,Italia,,46.0632822,11.1236094,200.0,Gelaterie,,AE-3cf,AE-3abde,AE-1abc,AE-2d,,,,,,,,,,,,,,,2011-05-27 14:09:53,2010-06-14
410,GELATOMANIA,387,"Via Garibaldi, 9",Trento,TN,Territorio Val D'adige,Italia,,46.0675862,11.1221699,200.0,Gelaterie,,AI-5b,AE-3cf,AE-3abde,,,,,,,,,,,,,,,,2013-03-01 08:43:26.899,2013-02-28
411,GIARDINO DI PIAZZA DANTE,1371,PIAZZA DANTE,Trento,TN,Territorio Val D'adige,Italia,,46.071548,11.120288,0.0,Parchi Pubblici,,AE-1abc,,,,,,,,,,,,,,,,,,2017-05-05 11:28:28.768,2014-11-19
412,GIGI'S CAFFE',159,"VIA POZZO, 24",Trento,TN,Territorio Val D'adige,Italia,,46.07014,11.1198,233.0,Bar,,AI-6d,AI-5b,AE-3cf,AE-3abde,AI-6fg,AI-6bc,AI-6ad,AE-1abc,AE-2c,AI-6r,,,,,,,,,2016-01-12 11:05:07.85,2013-01-31
413,GITAN VIAGGI SRL,428,"VIALE BOLOGNINI, 2",Trento,TN,Territorio Val D'adige,Italia,www.gitanviaggi.it,46.0587969,11.1274353,200.0,Agenzie viaggi e Promozione Turistica,,AE-3cf,AE-3abde,AE-1abc,AE-2d,AE-2c,,,,,,,,,,,,,,2011-03-21 15:14:23,2010-08-23
414,GRADO 12 ENOTECA,603,"LARGO CARDUCCI, 12",Trento,TN,Territorio Val D'adige,Italia,,46.068419,11.1242347,200.0,Enoteche,,AE-3cf,AE-3abde,AE-1abc,,,,,,,,,,,,,,,,2013-01-14 12:25:57.096,2013-01-11
415,GRAND HOTEL TRENTO,800,"VIA ALFIERI, 1",Trento,TN,Territorio Val D'adige,Italia,www.grandhoteltrento.com,46.070867,11.121361,200.0,Alberghi / Hotel,,AI-6d,AI-5fb,AI-5fa,AI-5f,AI-6l,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-1abc,AE-2d,AE-2a,AE-2b,AE-3cf,AI-8m,AI-8p,AI-8n,AI-8i,2016-03-17 10:33:44.388,2013-02-01
416,GRAZIANO'S ,142,"VIA CARLO ESTERLE, 9",Trento,TN,Territorio Val D'adige,Italia,,46.06595,11.12108,189.0,Fast Food,,AE-3cf,AE-1abc,AE-2d,AE-3abde,,,,,,,,,,,,,,,2013-01-31 11:17:04.923,2013-01-30
417,GROM il gelato come una volta ,310,"Piazza Duomo, 27",Trento,TN,Territorio Val D'adige,Italia,www.grom.it,46.0673408,11.1209968,180.0,Bar,Gelaterie,AE-3cf,AE-3abde,AE-1abc,,,,,,,,,,,,,,,,2013-01-17 12:15:00.471,2013-01-16
418,GRUPPO DEUTSCHE BANK,78,"VIA TORRE VERDE, 36",Trento,TN,Territorio Val D'adige,Italia,,46.07102,11.12344,215.0,Bancomat,,AE-4h,AE-1abc,,,,,,,,,,,,,,,,,2010-12-21 10:39:19,2009-11-19
419,Globtrotter - Trentina viaggi,399,"Via Santa Croce, 29",Trento,TN,Territorio Val D'adige,Italia,www.globtrotter.it,46.0642114,11.1234317,200.0,Agenzie viaggi e Promozione Turistica,,AE-3cf,AE-3abde,AE-1abc,AE-2c,,,,,,,,,,,,,,,2010-08-23 11:56:20,2010-08-19
420,HOME CARE,516,"VIA PROVINA, 3",Trento,TN,Territorio Val D'adige,Italia,www.homecare.unifarm.it,46.0383456,11.1158338,200.0,Ortopedie e Sanitarie,,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-2d,AE-2a,,,,,,2017-11-17 10:48:12.185,2010-07-19
421,HOTEL AMERICA,799,"VIA TORRE VERDE, 52",Trento,TN,Territorio Val D'adige,Italia,www.hotelamerica.it,46.071627,11.124532,200.0,Alberghi / Hotel,,AI-6d,AI-5fa,AI-5d,AI-6i,AI-6e,AI-6bc,AE-2d,AE-2a,AI-7a,AI-8n,AI-6l,AI-6ad,AI-6fg,AI-5f,AE-3abde,AI-5fb,AE-3cf,AI-6r,2017-11-17 10:49:58.502,2013-01-04
422,HOTEL EVEREST,809,"CORSO ALPINI, 14",Trento,TN,Territorio Val D'adige,Italia,www.hoteleverest.it,46.0783419,11.1184832,200.0,Alberghi / Hotel,Ristoranti,AI-6d,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-1abc,AI-8o,AI-8cd,AI-8efgb,AI-7bcdef,2016-03-18 11:06:35.077,2010-08-27
423,HOTEL SPORTING TRENTO,797,"VIA R. DA SANSEVERINO, 125",Trento,TN,Territorio Val D'adige,Italia,www.hotelsportingtrento.com,46.0517559,11.1118271,200.0,Alberghi / Hotel,,AI-6d,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6ad,AI-8efga,AI-8efg,AI-8p,AI-8n,AI-8i,AI-8a,2016-03-17 10:18:45.931,2010-09-03
424,HOTEL VELA,1385,"VIA SANTI COSMA E DAMIANO, 21",Trento,TN,Territorio Val D'adige,Italia,www.hotelvela.com,46.07432,11.10727,0.0,Alberghi / Hotel,,AI-6fg,AI-6d,AI-6e,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AI-8o,AI-8n,AI-8efgb,AI-8efga,AI-8efg,AI-8cd,AI-8a,AI-7bcdef,AI-7a,AI-6o,2016-03-18 10:41:48.984,2010-08-27
425,HOTEL VENEZIA,806,"VIA BELENZANI, 70",Trento,TN,Territorio Val D'adige,Italia,www.hotelveneziatn.it,46.067832,11.121351,200.0,Alberghi / Hotel,Bed & Breakfast,AI-6d,AI-5fb,AI-5fa,AI-5f,AE-3cf,AI-7bcdef,AI-8efga,AE-3abde,AI-8o,AI-6ad,AI-8n,AI-8m,AI-8efg,AI-8a,AI-7a,AI-6r,AI-6i,AI-6fg,2016-03-17 11:47:53.602,2013-01-23
426,Handicrea,1,"Via S. Martino, 46",Trento,TN,Territorio Val D'adige,Italia,www.handicrea.it,46.07294,11.12536,189.0,Cooperative e Laboratori Sociali,Uffici Pubblici,AE-3cf,AI-6o,AI-6e,AE-1abc,AE-2a,AI-6l,AI-6d,AI-6fg,AE-3abde,AI-6i,,,,,,,,,2014-04-10 14:42:50.232,2013-02-11
427,I FIORI DI FRENCY,1074,"VIA PRATI, 22",Trento,TN,Territorio Val D'adige,Italia,,46.0664,11.12079,0.0,Attivita commerciali,,AE-3cf,AE-3abde,,,,,,,,,,,,,,,,,2013-03-11 15:41:22.541,2010-09-13
428,I MONDI DI ALICE - Viaggi Vacanze,397,"Vicolo dell'Adige,11",Trento,TN,Territorio Val D'adige,Italia,www.imondidialice.it,46.070696,11.123545,200.0,Agenzie viaggi e Promozione Turistica,,AE-3cf,AE-3abde,AE-1abc,AE-2c,,,,,,,,,,,,,,,2013-01-28 09:52:42.634,2010-08-20
429,IL LIBERTINO,240,PIAZZA PIEDICASTELLO 4 - 6,Trento,TN,Territorio Val D'adige,Italia,,46.0710746,11.1131468,185.0,Ristoranti,Enoteche,AI-6d,AE-3cf,AI-6p,AI-6l,AI-6i,AI-6fg,AI-6e,AE-1abc,AE-2d,AI-6r,AE-3abde,,,,,,,,2016-02-09 10:21:10.608,2010-05-06
430,IL PANIERE,607,"VIA PERINI, 137",Trento,TN,Territorio Val D'adige,Italia,,46.0603972,11.121995,200.0,Panifici,,AE-3cf,AE-3abde,AE-1abc,AE-2c,,,,,,,,,,,,,,,2011-04-12 10:14:36,2010-06-28
431,IL PANIERE,769,"VIA VENETO, 100",Trento,TN,Territorio Val D'adige,Italia,,46.0583943,11.1224154,200.0,Panifici,,AE-3cf,AE-3abde,AE-1abc,,,,,,,,,,,,,,,,2011-05-27 13:30:58,2010-07-01
432,IL PAPIRO,257,VIA GRAZIOLI 37,Trento,TN,Territorio Val D'adige,Italia,www.libreriailpapiro.it,46.0663852,11.1305904,190.0,Librerie,,AE-3cf,AE-3abde,AE-1abc,,,,,,,,,,,,,,,,2010-05-13 07:13:13,2010-05-04
433,ILARY'S CAFE',77,"VICOLO DELL'ADIGE, 3",Trento,TN,Territorio Val D'adige,Italia,,46.070929,11.123461,211.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6ad,AE-1abc,AE-2d,AI-6bc,AI-6r,,,,,,,2016-01-12 11:11:25.858,2013-01-28
434,INDAL SRL - CIOCCOLATO E CACAO,602,"VIA MANTOVA, 28",Trento,TN,Territorio Val D'adige,Italia,,46.067734,11.123954,200.0,Dolciumi,,AE-3cf,AE-3abde,AE-1abc,AE-2c,,,,,,,,,,,,,,,2013-01-07 14:14:10.937,2013-01-04
435,INDAL SRL,766,"VIA 24 MAGGIO, 9",Trento,TN,Territorio Val D'adige,Italia,,46.0641785,11.1215919,200.0,Dolciumi,,AE-3cf,AE-3abde,AE-1abc,AE-2c,,,,,,,,,,,,,,,2011-05-27 13:20:11,2010-06-29
436,INFRASTRUTTURE STRADALI E FERROVIARIE,746,"VIA GAZZOLETTI, 33 - PALAZZO GIULIA",Trento,TN,Territorio Val D'adige,Italia,wwww.provincia.tn.it,46.0719662,11.1222282,200.0,Uffici Pubblici,,AI-6d,AI-5fa,AI-5f,AE-3cf,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AE-2d,AE-2a,AI-5fb,AE-1abc,AE-3abde,,,,,2013-01-17 10:51:22.838,2013-01-14
437,INPS,12,"VIA ORFANE, 8",Trento,TN,Territorio Val D'adige,Italia,www.inps.it,46.0691,11.11927,230.0,Uffici Pubblici,,AI-6d,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AI-6l,AI-6i,AI-6e,AI-6bc,AI-6ad,AE-2d,AI-6fg,AE-1abc,AI-6r,AE-2b,AI-6p,AE-2a,2013-06-06 14:22:46.898,2013-02-04
438,INTERCULTURA,697,"VIA BRONZETTI, 29",Trento,TN,Territorio Val D'adige,Italia,www.interculturatrento.it,46.058677,11.121518,200.0,Associazioni,,AI-6d,AI-5fa,AE-3cf,AE-3abde,AI-6fg,AI-6e,AI-5fb,AE-2d,AE-2b,AI-6i,AI-6l,AI-6p,AE-1abc,AE-2a,AI-5f,AI-6r,,,2020-06-30 12:00:34.508,2010-07-16
439,INTERNATIONAL BAR,620,"PIAZZA VICENZA, 9/10",Trento,TN,Territorio Val D'adige,Italia,,46.0617288,11.1336416,200.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-1abc,,,,,,,2011-04-12 14:09:46,2010-08-09
440,ISIT - ISTITUTO UNIVERSITARIO PER INTERPRETI E TRADUTTORI,741,"VICOLO SANTA MARIA MADDALENA, 22",Trento,TN,Territorio Val D'adige,Italia,www.isit.tn.it,46.0680795,11.1264644,200.0,Uffici Pubblici,Scuole e universita,AI-6d,AI-5fb,AI-5fa,AI-5f,AI-5d,AE-3cf,AE-3abde,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AE-1abc,AE-2c,AE-2a,,,,2013-01-15 08:36:18.851,2013-01-14
441,JUST CAFE DAM SNC,32,"VIA MALPAGA, 20",Trento,TN,Territorio Val D'adige,Italia,,46.06844,11.12339,204.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AI-6r,,,,,,,,,2016-01-12 11:44:09.976,2013-01-11
442,KEBAB IL TURCO 4,9,"VIA CAVOUR, 29",Trento,TN,Territorio Val D'adige,Italia,,46.06806,11.1206,199.0,Fast Food,,AE-3cf,AE-3abde,AE-1abc,AE-2c,,,,,,,,,,,,,,,2016-02-02 16:47:07.917,2013-01-30
443,KEBAB SARA,158,"VIA ROMA, 19",Trento,TN,Territorio Val D'adige,Italia,,46.06966,11.11906,233.0,Fast Food,,AE-3abde,AE-3cf,AE-1abc,AE-2d,,,,,,,,,,,,,,,2013-01-24 11:52:05.765,2013-01-23
444,KING CAR,617,"VIA FERMI, 26",Trento,TN,Territorio Val D'adige,Italia,,46.0471951,11.1270559,200.0,Riparazione Autovetture,,,,,,,,,,,,,,,,,,,,2011-04-12 13:55:10,2010-08-09
445,L'ANDALUSIA KEBAB,177,"PIAZZA GARZETTI, 13",Trento,TN,Territorio Val D'adige,Italia,,46.06573,11.12389,201.0,Fast Food,,AI-6d,AI-5b,AE-3cf,AE-3abde,AI-6p,AI-6fg,AE-1abc,AE-2c,AI-6r,,,,,,,,,,2013-01-31 14:12:40.481,2013-01-31
446,L'ANGOLO DELLE ERBE,771,"VIALE VERONA, 41",Trento,TN,Territorio Val D'adige,Italia,,46.056926,11.128522,0.0,Erboristerie,,AE-3cf,AE-3abde,,,,,,,,,,,,,,,,,2019-01-23 15:53:44.984,2019-01-23
447,L'OFFICINA,618,"VIA FERMI, 26",Trento,TN,Territorio Val D'adige,Italia,,46.0471951,11.127059,200.0,Riparazione Autovetture,,,,,,,,,,,,,,,,,,,,2011-04-12 13:59:17,2010-08-09
448,L.I.L.A. TRENTINO,698,"VIA BRONZETTI, 29",Trento,TN,Territorio Val D'adige,Italia,www.lilatrentino.it,46.058677,11.121518,200.0,Associazioni,,AI-6d,AI-5fa,AI-5f,AE-3cf,AE-3abde,AI-6fg,AI-5fb,AE-2d,AE-2b,AI-6i,AI-6l,AI-6p,AE-1abc,AE-2a,AI-6e,AI-6r,,,2019-06-24 10:27:50.269,2010-07-16
449,L.I.L.T. Lega Italiana per la Lotta contro i Tumori,329,"Corso 3 Novembre, 134",Trento,TN,Territorio Val D'adige,Italia,www.legatumori.it,46.0604311,11.1253101,180.0,Associazioni,,AE-3cf,AE-3abde,AE-1abc,AE-2a,,,,,,,,,,,,,,,2010-06-16 12:22:39,2010-05-17
450,LA  RIVISTERIA,200,"VIA S. VIGILIO, 21",Trento,TN,Territorio Val D'adige,Italia,,46.06656,11.12202,250.0,Librerie,,AI-5c,AE-3cf,AE-3abde,AE-1abc,,,,,,,,,,,,,,,2013-01-10 12:03:39.938,2013-01-09
451,LA BIBLIOTECA DEI RAGAZZI - PALAZZINA LIBERTY,1389,"PIAZZA DANTE, 32",Trento,TN,Territorio Val D'adige,Italia,www.bibcom.trento.it,46.070904,11.121065,200.0,Biblioteche,Centri e sale culturali,AE-1abc,AE-2a,AI-6bc,AI-6r,AI-6i,AI-5f,AE-3cf,AI-6l,AI-6e,AI-6ad,AI-6p,AI-5fb,AI-6fg,AI-5fa,AI-6d,AE-2d,AE-3abde,AE-2b,2017-10-09 17:48:05.746,2017-09-28
452,LA BIBLIOTECA DEI RAGAZZI,515,"PASSAGGIO PETERLONGO, 3",Trento,TN,Territorio Val D'adige,Italia,www.bibcom.trento.it,46.069663,11.120251,200.0,Biblioteche,,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AE-1abc,AE-2d,,,,,,,,2013-01-24 12:11:51.589,2013-01-23
453,LA DELIZIA,386,"Via Mazzini, 20",Trento,TN,Territorio Val D'adige,Italia,,46.0660008,11.1227875,200.0,Gelaterie,,AI-5c,AE-3cf,AE-3abde,AE-2c,,,,,,,,,,,,,,,2013-02-28 12:03:14.472,2013-02-28
454,LA GELATERIA,385,"Via Belenzani, 50",Trento,TN,Territorio Val D'adige,Italia,,46.0683092,11.1213567,200.0,Gelaterie,,AI-5c,AE-3cf,AE-3abde,AE-1abc,,,,,,,,,,,,,,,2013-01-23 10:30:36.147,2013-01-23
455,LA PANETTERIA DI GIOVANELLA NIVES,559,"PIAZZA GENERALE CANTORE, 9",Trento,TN,Territorio Val D'adige,Italia,,46.0774609,11.1195507,200.0,Panifici,,AE-3cf,AE-3abde,AE-1abc,AE-2c,,,,,,,,,,,,,,,2011-04-08 08:45:00,2010-07-07
456,LA POSADA,58,"LARGO CARDUCCI, 24",Trento,TN,Territorio Val D'adige,Italia,,46.06835,11.12473,185.0,Ristoranti,Pizzerie,AE-3cf,AE-3abde,AI-6l,AI-6i,AI-6fg,AI-6e,AE-1abc,AI-6d,AE-2d,,,,,,,,,,2016-02-09 11:54:48.521,2013-01-11
457,LA RETE,194,"VIA TARAMELLI, 8/10",Trento,TN,Territorio Val D'adige,Italia,www.cooplarete.org,46.0608,11.11614,157.0,Cooperative e Laboratori Sociali,,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-2a,,,,,,,2018-01-05 15:53:50.227,2010-02-16
458,LA RUOTA,781,"VIA BRENNERO, 165",Trento,TN,Territorio Val D'adige,Italia,www.laruota.coop,46.0730641,11.122183,200.0,Cooperative e Laboratori Sociali,,AE-3cf,AE-3abde,,,,,,,,,,,,,,,,,2011-05-30 07:57:23,2010-07-26
459,LA STUA,198,"VIA DEI MILLE, 20",Trento,TN,Territorio Val D'adige,Italia,,46.062387,11.1280688,195.0,Ristoranti,Bar,AI-6d,AI-5b,AE-3abde,AI-6fg,AI-6bc,AI-6ad,AE-1abc,AE-2d,AI-6r,AE-3cf,,,,,,,,,2017-11-17 10:52:44.869,2010-03-03
