,Unnamed: 0,has_latitude,has_longitude,information,opening_hours,facility_type,smoking,architecturalBarriers,name,sport,has_capacity,menu,hiking,has_location,has_contactPoint
15,15,45.89010620117188,11.109387397766112,no information specified,,viewpoint,,ab_28921,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,454567272,cp_7761756948
16,16,45.84833526611328,11.00319480895996,no information specified,,picnic_site,,ab_62407,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,476777392,cp_2627135016
17,17,45.88969421386719,11.01616668701172,no information specified,,picnic_table,,ab_15789,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,516509675,cp_3752667134
18,18,45.88903045654297,11.016215324401855,bicyclemap,,information,,ab_6231,"""Pista Ciclabile Valle dell'Adige""",,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,516509678,cp_2746775542
19,19,45.90138244628906,11.02995491027832,no information specified,,picnic_site,,ab_1055,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,516509712,cp_2530769673
20,20,45.89918899536133,11.027949333190918,no information specified,,picnic_site,,ab_99579,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,516509715,cp_1649210240
21,21,45.898956298828125,11.027665138244627,no information specified,,picnic_site,,ab_34147,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,516509717,cp_9388590838
22,22,45.8624267578125,10.99949073791504,bicyclemap,,information,,ab_48659,"""Pista Ciclabile Valle dell'Adige""",,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,516509719,cp_6011427191
23,23,45.83891296386719,11.001465797424316,bicyclemap,,information,,ab_34235,"""Pista Ciclabile Valle dell'Adige""",,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,516520290,cp_9071410783
24,24,45.91416931152344,11.040568351745604,map,,information,,ab_61500,"""Pista Ciclabile Valle dell'Adige""",,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,524599074,cp_7349895879
25,25,45.85211944580078,11.010229110717772,no information specified,,playground,,ab_81201,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,614868084,cp_7009318086
26,26,45.85438919067383,11.012250900268556,map,,information,,ab_77034,'Biotopo Lavini di Marco',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",yes,614868158,cp_9811732007
27,27,45.85491180419922,11.014522552490234,no information specified,,viewpoint,,ab_98153,'Torretta di avvistamento',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,614868257,cp_3505849410
28,28,45.856910705566406,11.019243240356444,board,,information,,ab_6259,'Biotopo Lavini di Marco',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",yes,614868311,cp_1462412816
