,DENOMINAZIONE,ID,INDIRIZZO,CAP,COMUNE,PROVINCIA,COMUNITA DI VALLE,NAZIONE,SITO INTERNET,LATITUDINE,LONGITUDINE,ALTITUDINE,CATEGORIA 1,CATEGORIA 2,CODICE ACCESSIBILITA' 1,CODICE ACCESSIBILITA' 2,CODICE ACCESSIBILITA' 3,CODICE ACCESSIBILITA' 4,CODICE ACCESSIBILITA' 5,CODICE ACCESSIBILITA' 6,CODICE ACCESSIBILITA' 7,CODICE ACCESSIBILITA' 8,CODICE ACCESSIBILITA' 9,CODICE ACCESSIBILITA' 10,CODICE ACCESSIBILITA' 11,CODICE ACCESSIBILITA' 12,CODICE ACCESSIBILITA' 13,CODICE ACCESSIBILITA' 14,DATA ULTIMA MODIFICA,DATA RILEVAZIONE
25,BIBLIOTECA ROSMINIANA,815,"VIA STOPPANI, 1",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.casanatalerosmini.it,45.890698,11.0419074,200,Centri e sale culturali,Biblioteche,AI-6d,AI-5fb,AI-5f,AE-3cf,AE-3abde,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AE-1abc,AE-2a,,,2011-06-01 12:57:51,2010-09-29
26,BLU LIBRI,847,"VIA DEI PORTICI, 5",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.886728,11.045254,200,Librerie,,AE-3cf,AE-3abde,AE-2d,,,,,,,,,,,,2016-04-04 11:57:58.082,2013-02-21
27,CAFFE' DERSUT,920,"VIA GARIBADI, 28",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8901912,11.0414048,200,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-2d,,,,2011-06-21 14:17:59,2010-09-28
28,CAFFÉ DE MIN,921,"VIALE DANTE, 6",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8879941,11.0404199,200,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6fg,AI-6ad,AE-1abc,AE-2c,AI-6p,AI-6r,AI-6bc,,,,,2013-01-18 14:07:31.566,2010-09-24
29,CAFFÉ GAMBRINUS,929,"CORSO ROSMINI, 70",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8909473,11.0398997,200,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6fg,AI-6ad,AI-6r,AI-6p,AI-6bc,,,,,,,2013-01-18 14:29:19.266,2010-09-15
30,CAFFÉ RISTRETTO,939,"VIA TARTAROTTI, 60",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.889562,11.041351,200,Bar,,AI-6d,AI-5b,AE-3cf,AE-3abde,AI-6fg,AI-6ad,AI-6r,AI-6bc,,,,,,,2013-01-18 14:41:11.358,2010-10-20
31,CAMPANA DEI CADUTI,1110,COLLE MIRAVALLE,38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.fondazioneoperacampana.it,45.87425,11.039685,0,Musei,Edifici Storici,AI-5fb,AI-5fa,AE-2d,AE-2b,AI-6i,AI-5f,AE-2a,AI-6e,AI-6p,AI-6d,AI-6r,AE-3cf,AE-1abc,AE-3abde,2013-03-15 15:25:06.788,2012-06-13
32,CASA D'ARTE FUTURISTA DEPERO,1462,"VIA DEI PORTICI, 38",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.mart.trento.it,45.887601,11.044082,0,Musei,,AI-6fg,AI-5fa,AE-1abc,AI-6i,AE-3abde,AI-5fb,AI-5f,AI-6l,AI-6e,AE-3cf,AI-6d,,,,2018-07-16 11:58:18.254,2016-12-22
33,CASA ROSMINI,816,"VIA STOPPANI, 3",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.casanatalerosmini.it,45.890698,11.0419074,200,Musei,Centri e sale culturali,AI-6d,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AI-6l,AI-6i,AI-6fg,AI-6e,AE-1abc,AE-2a,AI-6p,AI-6r,2013-03-05 15:37:56.865,2013-03-05
34,CASSA RURALE DI ROVERETO,827,"VIA MANZONI, 1",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.ruralerovereto.it,45.8098612,11.0064226,200,Banca,Bancomat,AE-4h,AE-3abde,AE-3cf,AE-1abc,,,,,,,,,,,2016-03-21 10:28:08.648,2012-08-08
35,CASSA RURALE DI ROVERETO,840,"PIAZZA ERBE, 3",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8906277,11.047654151,200,Banca,Bancomat,AE-4h,AE-2a,AE-1abc,AE-3abde,AE-2c,AE-3cf,AE-2b,,,,,,,,2016-03-21 10:00:10.639,2012-08-10
36,CENTRO CONSULENZA SORDITA',828,"BORGO SANTA CATERINA, 26",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.centroconsulenzasordita.it,45.8898784,11.039661,200,Apparecchi Acustici,,AE-3abde,AI-5c,AE-3cf,,,,,,,,,,,,2016-04-14 11:03:59.998,2013-02-26
37,CENTRO DIURNO LA TERRA,880,"VIA DELLA TERRA, 15",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8976801,11.0452184,200,Associazioni,,AE-3cf,AE-3abde,,,,,,,,,,,,,2011-06-09 14:34:19,2010-09-29
38,CENTRO NATATORIO,905,VIA UDINE,38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.2001team.com,45.8849711,11.036228,200,Impianti Sportivi,,AE-3cf,AE-3abde,AE-1abc,AE-2a,,,,,,,,,,,2011-06-10 13:53:58,2010-01-24
