,Unnamed: 0,Unnamed: 0.1,city,country,housenumber,postcode,street,region,osm_ID,has_latitude,has_longitude,has_province,has_administrativeArea
112,112,112,,it,30,,Via Montecorno,Trentino-Alto Adige,3815830157,45.89493560791016,11.038039207458496,TN,22205
113,113,113,Rovereto,it,18,38068.0,Via Azzolini,Trentino-Alto Adige,3815857590,45.89554977416992,11.037134170532228,TN,22161
114,114,114,,it,,,,Trentino-Alto Adige,3867879077,45.90307235717773,11.042699813842772,TN,22205
115,115,115,Rovereto,it,17/C,38068.0,Via Parteli,Trentino-Alto Adige,4005533476,45.896278381347656,11.037278175354004,TN,22161
116,116,116,,it,,,,Trentino-Alto Adige,4013446318,45.88691329956055,11.043563842773438,TN,22205
117,117,117,,it,,,,Trentino-Alto Adige,4198336191,45.85226440429688,11.033066749572754,TN,22205
118,118,118,,it,,,,Trentino-Alto Adige,4198336192,45.84255599975586,11.033524513244627,TN,22205
119,119,119,,it,,,,Trentino-Alto Adige,4198336193,45.84506607055664,11.031564712524414,TN,22205
120,120,120,,it,,,,Trentino-Alto Adige,4198336194,45.84507369995117,11.031442642211914,TN,22205
121,121,121,,it,,,,Trentino-Alto Adige,4198336196,45.8476791381836,11.034431457519531,TN,22205
122,122,122,,it,,,,Trentino-Alto Adige,4198336198,45.8497314453125,11.035041809082031,TN,22205
123,123,123,,it,,,,Trentino-Alto Adige,4198336201,45.85065841674805,11.033910751342772,TN,22205
124,124,124,,it,,,,Trentino-Alto Adige,4198336202,45.8507194519043,11.033164024353027,TN,22205
125,125,125,,it,,,,Trentino-Alto Adige,4198336203,45.85161590576172,11.032987594604492,TN,22205
126,126,126,,it,,,,Trentino-Alto Adige,4198336204,45.85204315185547,11.03319263458252,TN,22205
127,127,127,,it,,,,Trentino-Alto Adige,4605995908,45.91127014160156,11.053194999694824,TN,22205
128,128,128,,it,,,,Trentino-Alto Adige,4729737243,45.80731201171875,11.058351516723633,TN,22205
129,129,129,,it,,,,Trentino-Alto Adige,4784928624,45.83642578125,11.050061225891112,TN,22205
130,130,130,Rovereto,it,67,38068.0,Via Giuseppe Garibaldi,Trentino-Alto Adige,4874793589,45.89018630981445,11.040602684020996,TN,22161
131,131,131,,it,,,,Trentino-Alto Adige,4875536174,45.900657653808594,11.041279792785645,TN,22205
132,132,132,,it,,,,Trentino-Alto Adige,4958773901,45.89483642578125,11.086979866027832,TN,22205
133,133,133,,it,,,,Trentino-Alto Adige,4995162064,45.88793563842773,11.055824279785156,TN,22205
134,134,134,Rovereto,it,4,38068.0,Scala del Redentore,Trentino-Alto Adige,5069371904,45.887577056884766,11.045056343078612,TN,22161
135,135,135,,it,,,,Trentino-Alto Adige,5154263646,45.84165573120117,11.048730850219728,TN,22205
136,136,136,,it,,,,Trentino-Alto Adige,5194568898,45.86713790893555,11.02069854736328,TN,22205
137,137,137,,it,,,,Trentino-Alto Adige,5194568899,45.86706161499024,11.020427703857422,TN,22205
138,138,138,,it,,,,Trentino-Alto Adige,5365385300,45.89473724365234,11.044673919677734,TN,22205
139,139,139,,it,,,,Trentino-Alto Adige,5365385301,45.89480209350586,11.044933319091797,TN,22205
140,140,140,,it,,,,Trentino-Alto Adige,5365385302,45.89469528198242,11.044866561889648,TN,22205
141,141,141,,it,,,,Trentino-Alto Adige,5365385303,45.89488983154297,11.044845581054688,TN,22205
142,142,142,,it,,,,Trentino-Alto Adige,5365385304,45.89457702636719,11.04450798034668,TN,22205
143,143,143,,it,,,,Trentino-Alto Adige,5368717191,45.89867401123047,11.042306900024414,TN,22205
144,144,144,,it,,,,Trentino-Alto Adige,5374581156,45.89360427856445,11.035881042480469,TN,22205
145,145,145,,it,,,,Trentino-Alto Adige,5375920263,45.89496612548828,11.038947105407717,TN,22205
146,146,146,Rovereto,it,3/b,38068.0,Via Metteo del Ben,Trentino-Alto Adige,5400550648,45.89252853393555,11.03658676147461,TN,22161
147,147,147,,it,,,,Trentino-Alto Adige,5493331092,45.90158081054688,11.046422004699709,TN,22205
148,148,148,,it,,,,Trentino-Alto Adige,5572787153,45.900390625,11.045092582702637,TN,22205
149,149,149,,it,,,,Trentino-Alto Adige,5572787154,45.90103912353516,11.045011520385742,TN,22205
150,150,150,,it,,,,Trentino-Alto Adige,5804936996,45.89531707763672,11.026555061340332,TN,22205
151,151,151,,it,,,,Trentino-Alto Adige,5805928657,45.88515472412109,11.046161651611328,TN,22205
152,152,152,Rovereto,it,44/0,38068.0,Via del Garda,Trentino-Alto Adige,5852942369,45.86716079711914,11.012873649597168,TN,22161
153,153,153,,it,,,,Trentino-Alto Adige,5856280836,45.867652893066406,11.013091087341309,TN,22205
154,154,154,Rovereto,it,44bis,38068.0,Via del Garda,Trentino-Alto Adige,5864127323,45.86751174926758,11.012245178222656,TN,22161
155,155,155,,it,,,,Trentino-Alto Adige,5864127324,45.8842887878418,11.033403396606444,TN,22205
156,156,156,Rovereto,it,42,,Via San Giorgio,Trentino-Alto Adige,5887231094,45.9003791809082,11.03428554534912,TN,22161
157,157,157,,it,50,,Via Benacense,Trentino-Alto Adige,6091712990,45.87820053100586,11.033763885498049,TN,22205
158,158,158,,it,,,,Trentino-Alto Adige,6109085492,45.891090393066406,11.040419578552246,TN,22205
159,159,159,,it,,,,Trentino-Alto Adige,6285620604,45.87607192993164,11.0989990234375,TN,22205
160,160,160,,it,,,,Trentino-Alto Adige,6347428293,45.87969970703125,11.019882202148438,TN,22205
161,161,161,,it,,,,Trentino-Alto Adige,6347428294,45.87739944458008,11.01810359954834,TN,22205
162,162,162,,it,,,,Trentino-Alto Adige,6347428295,45.87752532958984,11.01820182800293,TN,22205
