,has_ID,has_officialName,has_municipality,has_province,has_country,has_website,has_latitude,has_longitude,has_elevation,has_facilityType,has_uploadDate,has_addr:street,has_addr:housenumber,has_accessibleElevator,has_reservedParkinglots,has_guidanceSystem,has_accessibleToilette,has_steps,has_ramp,has_staircaseSlope,has_levelOfAccessibility
44,11,AL FEUDO,Trento,TN,Italia,,46.068819,11.120382,324.0,Bar,2013-02-01,Piazzetta Lainez,8,False,True,False,False,True,False, ,yes
45,814,AL MARINAIO,Trento,TN,Italia,www.almarinaio.eu,46.0383081,11.1234899,200.0,Alberghi / Hotel,2010-08-24,Via Dei Marinai D'italia,28,False,False,False,True,False,False, ,no
46,236,AL NUOVO FARO,Trento,TN,Italia,,46.0709233,11.109862,190.0,Ristoranti,2010-05-06,Via Brescia,45,False,False,False,True,False,True,Dislivello in percentuale: 10.0; Lunghezza in cm.: 100.0,limited
47,157,AL PARCO - BAR PASTICCERIA,Trento,TN,Italia,,46.069931,11.119781,216.0,Pasticcerie,2013-01-31,Via Pozzo,1,False,True,False,True,False,False, ,limited
48,3,AL PORTEGHET,Trento,TN,Italia,,46.071177,11.124706,245.0,Bar,2013-01-04,Passaggio Dorigoni,3,False,True,True,True,True,False, ,yes
49,811,ALBERMONACO,Trento,TN,Italia,www.albermonaco.it,46.07328,11.12628,200.0,Alberghi / Hotel,2010-02-24,Via Torre D'augusto,25,False,False,False,True,False,False, ,no
50,733,ALL'ANFITEATRO,Trento,TN,Italia,,46.0692499,11.125253,200.0,Ristoranti,2013-01-14,Piazzetta Dell'anfiteatro,10,False,True,False,True,False,False, ,limited
51,738,ALLA GROTTA,Trento,TN,Italia,,46.0697049,11.1255647,200.0,Ristoranti,2013-01-25,Vicolo S. Marco,6,False,True,False,True,False,False, ,limited
52,243,ALLA SCALETTA,Trento,TN,Italia,,46.06861,11.1261711,200.0,Bar,2013-01-30,Via Santa Maria Maddalena,7,False,True,False,False,False,False, ,limited
53,1499,ALMAC Associazione per la Lotta alle Malattie Cardiovascolari,Trento,TN,Italia,,46.060606,11.123717,200.0,Associazioni,2019-06-10,Via Sighele,5,False,True,False,False,False,False, ,limited
54,1116,AMBULATORI MEDICI,Trento,TN,Italia,,46.04892,11.145598,0.0,Ambulatori Medici,2013-05-07,Via Dei Colli,1,False,True,True,True,False,False, ,yes
55,110,AMBULATORIO - STUDIO MEDICO DI MEDICINA GENERALE,Trento,TN,Italia,,46.07391,11.125417,250.0,Ambulatori Medici,2009-10-06,Via San Martino,11,False,True,False,True,False,False, ,limited
56,1318,AMBULATORIO COMUNALE,Trento,TN,Italia,www.comune.trento.it,46.070925,11.058696,0.0,Ambulatori Medici,2013-12-04,Piazza Oveno,15,False,True,False,True,False,False, ,limited
57,242,AMERICAN BAR FEELING,Trento,TN,Italia,,46.06594,11.123804,180.0,Bar,2013-01-14,Via 1°androna Di Borgonuovo,20,False,True,False,True,False,True,Dislivello in percentuale: 8.0; Lunghezza in cm.: 250.0,yes
